,Timestamp,Volume,Average,TakeProfitPrice,TakeProfitTime,OrderPrice,OrderTime,WaitingTime
944,2022-12-13 15:44:00,20462038.0,0.08913,0.093587,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
945,2022-12-13 15:45:00,4025448.0,0.08899,0.09344,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
946,2022-12-13 15:46:00,5476800.0,0.08913,0.093587,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
947,2022-12-13 15:47:00,1382245.0,0.08897,0.093419,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
948,2022-12-13 15:48:00,923153.0,0.089055,0.093508,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
949,2022-12-13 15:49:00,1171244.0,0.089015,0.093466,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
950,2022-12-13 15:50:00,1155671.0,0.0891,0.093555,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
951,2022-12-13 15:51:00,663292.0,0.08907,0.093523,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
952,2022-12-13 15:52:00,856188.0,0.089055,0.093508,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
953,2022-12-13 15:53:00,953040.0,0.08895,0.093398,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
954,2022-12-13 15:54:00,1133078.0,0.088905,0.09335,2022-12-13 22:31:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
955,2022-12-13 15:55:00,997970.0,0.08901,0.093461,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
956,2022-12-13 15:56:00,890544.0,0.08907,0.093523,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
957,2022-12-13 15:57:00,1231861.0,0.08895,0.093398,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
958,2022-12-13 15:58:00,2102747.0,0.08897,0.093419,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
959,2022-12-13 15:59:00,813033.0,0.088985,0.093434,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
960,2022-12-13 16:00:00,648930.0,0.08897,0.093419,2022-12-13 22:34:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
961,2022-12-13 16:01:00,1416958.0,0.088815,0.093256,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
962,2022-12-13 16:02:00,8965411.0,0.08889,0.093335,2022-12-13 22:31:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
963,2022-12-13 16:03:00,4381834.0,0.088725,0.093161,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
964,2022-12-13 16:04:00,1628809.0,0.08859,0.09302,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
965,2022-12-13 16:05:00,1438792.0,0.08864,0.093072,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
966,2022-12-13 16:06:00,1076057.0,0.08872,0.093156,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
967,2022-12-13 16:07:00,1006317.0,0.08874,0.093177,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
968,2022-12-13 16:08:00,604099.0,0.08874,0.093177,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
969,2022-12-13 16:09:00,507057.0,0.08873,0.093167,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
970,2022-12-13 16:10:00,927351.0,0.088715,0.093151,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
971,2022-12-13 16:11:00,597295.0,0.088645,0.093077,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
972,2022-12-13 16:12:00,826978.0,0.08852,0.092946,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
973,2022-12-13 16:13:00,2610170.0,0.08846,0.092883,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
974,2022-12-13 16:14:00,2240112.0,0.08825,0.092662,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
975,2022-12-13 16:15:00,3961505.0,0.088475,0.092899,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
976,2022-12-13 16:16:00,1789814.0,0.0884,0.09282,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
977,2022-12-13 16:17:00,9138358.0,0.088075,0.092479,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
978,2022-12-13 16:18:00,3691847.0,0.087925,0.092321,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
979,2022-12-13 16:19:00,13829174.0,0.0877,0.092085,2022-12-13 22:30:00,0.08738,2022-12-13 16:20:00,2022-12-13 11:20:00
